class,x_avg,y_avg,z_avg,x_std,y_std,z_std
Jogging,-0.16923282558,8.404367472699997,1.7604980430500006,4.059769924320082,8.188675565874112,5.084060923473168
Jogging,-0.6977023181000007,7.617928629400003,1.427889160579999,5.394756530525612,8.207617865955674,5.398771927923619
Jogging,-1.2252183821,7.909131627300005,2.44580583824,5.379850003950425,8.15126608580073,5.415971718978253
Jogging,1.84596572457,8.9578983727,1.6836792844499997,5.447072963011015,7.746523659998067,5.003476189151934
Jogging,2.246880660700001,9.99890159635,1.5198945976799996,6.431094151918521,7.610391820934132,4.4710780291298775
Jogging,1.8552275777399998,8.888298406930002,1.6757794908800003,5.8648723677849945,7.621772850050523,4.825622650382504
Jogging,2.316821138229999,9.823607706620002,0.5882628276199997,6.085526060090057,8.147491795743846,4.68583023073057
Jogging,2.514929104650002,10.787519687549997,0.7021289359199998,6.653520409329672,7.586405140399767,4.167134923993317
Jogging,2.5075060358499983,9.7751873779,0.6187043093299996,6.986543483761893,8.242268910207772,4.702643905090546
Jogging,2.3900986179999983,9.522189398479998,0.3682942006399999,7.307700168047396,8.278689004932307,5.038824547327745
Jogging,2.283519389250001,10.03295244159999,0.8458235976499998,7.099132099503045,7.989635132770532,4.210114425697908
Jogging,2.5009001456500006,9.827148981099999,0.9431409939799998,6.977984758169784,7.796976472294043,3.8858826771636443
Jogging,2.8328279905399985,9.958653469369999,0.7258283224399996,7.178698141846039,7.959360089988647,4.282007255100287
Jogging,3.0901163820499984,9.28260753828,0.7584490565800006,7.214536190433867,8.042380255391825,4.26062582129593
Jogging,1.9189707951699986,10.138986815079997,0.43067537681999973,5.0422678498341815,6.141482058484288,3.6570973985694732
Jogging,2.5805791906599995,9.314819625769996,-0.10249312345000001,4.095593736389597,7.887116504181268,3.2450036620376443
Jogging,3.5690759038499973,8.40838546733,-0.12054008146999999,4.331719054298462,8.171346479089545,3.3796517271726816
Jogging,3.806750975990001,8.839129018529997,0.15050483885000002,5.0524611099184815,7.923447170394798,3.633627798516396
Jogging,3.943226846179996,8.391836695730001,-0.3144257263400002,5.092749905289949,8.334383428948492,3.779358623029728
Jogging,4.551443487949997,8.86514383231,-0.31326799386999993,4.540057848682737,7.666445697044568,3.51669122862302
Jogging,3.715154166110001,8.007811029269998,0.30046486488,4.395181160138037,8.132698909229441,3.667064393993544
Jogging,3.9639297891500007,8.160222712449999,0.1169987868700001,4.602695064446938,8.356743991836582,3.678752825366207
Jogging,3.885136094699998,7.7576052457600015,0.07913422921999999,4.609193786613457,7.607151684985827,3.2842010927996412
Jogging,4.12015517025,8.109759363820004,0.32321086057000004,4.5875462862265834,7.888929254107548,3.4148723290657776
Jogging,4.2932016957800005,8.524703254860004,0.4239333199300003,4.745567921440359,7.907782684846353,3.405394342328665
Jogging,4.87247506862,9.13543960675,0.3863411770100002,4.35222238424408,7.245948730127048,3.459413194908824
Jogging,4.31485805245,8.536144317470004,0.26205548738,4.834476430637502,7.997898946188908,3.1641028012415857
Jogging,4.2499570983199995,8.101927652079995,0.35467386441999993,4.712255728070662,7.62828575941726,3.466086145627069
Jogging,4.2586741527499985,8.445364737479997,0.3755810946499998,4.24740519263805,7.208822633386104,3.4759636949367634
Jogging,6.33508266397,8.367395548999996,0.5266307370000007,9.029939011876236,7.670751186263285,5.019658337770309
Jogging,5.412250000000006,7.096349999999998,-0.24182927336999976,10.638340466298512,8.520122334831964,4.791438555080212
Jogging,5.375800000000002,6.534350000000002,-0.11863325945000006,10.868135544381806,8.765853553425389,4.826030847067071
Jogging,5.545500000000005,7.294349999999998,0.5261540281500001,11.427803824499977,8.71803511456532,6.111954148505548
Jogging,4.275750000000002,8.219350000000002,-0.17972048261999995,11.840267272444262,8.984582555465778,5.070490145547588
Jogging,6.045300000000002,8.168800000000005,-0.4272702634999997,11.458390878198736,8.489299594076652,5.62620815821304
Jogging,4.908350000000001,7.4778499999999894,-0.45512392345999986,11.310876776126754,9.126591931213671,5.168098281406995
Jogging,5.511500000000002,7.981449999999996,0.6181594809499995,11.64602076886109,9.421635712283452,6.141053043557923
Jogging,4.245550000000001,8.0438,-0.4877446724999999,11.352822848554156,9.261239948675053,5.630979009609708
Jogging,6.205900000000006,7.312750000000001,-0.09071152763000027,11.173363164779898,8.787372960975103,5.636798266563045
Jogging,4.231200000000001,7.782550000000003,-1.2131643829799996,11.615323856936039,8.817250622512724,4.6999072899306285
Jogging,5.165700000000002,6.973750000000001,-0.3640037845300002,10.668744445821693,8.80666538557971,4.763320187885539
Jogging,5.565100000000004,7.719499999999996,-0.5762088203499999,9.774890300763476,8.642193546576145,4.816693164515383
Jogging,6.6148500000000015,7.151999999999995,0.4171912539699996,10.063877439790073,8.551924700346818,5.410593017113338
Jogging,5.81155,8.357949999999995,-0.41603353702999996,10.779520835580945,8.859043433139453,5.31730148716641
Jogging,5.577099999999998,7.864950000000001,-0.22003673270999993,10.93628626988542,8.76653108898673,4.770966884683725
Jogging,6.035449999999996,6.586449999999997,-0.3847067284500001,10.662675934676985,8.549637501351894,4.966241801586635
Jogging,5.455750000000002,7.552149999999999,-0.09248217856999988,11.46904947748877,9.124407649390797,5.847318672475616
Jogging,5.521900000000008,7.9989000000000035,-0.58615167238,10.96729076498011,8.510896343679928,5.020870224660683
Jogging,5.22735,6.494199999999999,0.1709353832,10.796594683570676,8.463710257126182,4.810556437234271
